iter	RMSE
0	27.1402152
1	26.44829393
2	25.76932508
3	25.11698176
4	24.49095607
5	23.88514274
6	23.3018891
7	22.7208098
8	22.15983501
9	21.61553392
10	21.09040558
11	20.5912921
12	20.10077574
13	19.6355902
14	19.17335883
15	18.73784496
16	18.30878945
17	17.90202085
18	17.50760027
19	17.12759025
20	16.7541084
21	16.39192932
22	16.04862872
23	15.70992628
24	15.38937811
25	15.0778452
26	14.77574494
27	14.49076835
28	14.21125596
29	13.94098547
30	13.68349132
31	13.43079525
32	13.18880754
33	12.95696419
34	12.73438521
35	12.51914042
36	12.31562313
37	12.11994368
38	11.92993714
39	11.74615147
40	11.56938121
41	11.39963785
42	11.23784567
43	11.0804187
44	10.92857739
45	10.78215011
46	10.64445877
47	10.51255963
48	10.38505873
49	10.26317413
50	10.14489737
51	10.03189697
52	9.925026743
53	9.820959861
54	9.721089836
55	9.62807853
56	9.537988485
57	9.451958861
58	9.368289021
59	9.289155711
60	9.214602959
61	9.1410158
62	9.071451851
63	9.003495241
64	8.939624742
65	8.877685461
66	8.820588664
67	8.766598961
68	8.713645387
69	8.66249792
70	8.613482482
71	8.566764799
72	8.521042911
73	8.477145573
74	8.436143822
75	8.396591187
76	8.358457661
77	8.322319264
78	8.288634982
79	8.256530633
80	8.225780659
81	8.195942272
82	8.167941906
83	8.140250525
84	8.115090417
85	8.090028551
86	8.066663647
87	8.043195376
88	8.021563934
89	8.00144937
90	7.9822919
91	7.963069927
92	7.944623937
93	7.927699035
94	7.911283307
95	7.897344591
96	7.881573735
97	7.866613558
98	7.85389303
99	7.83974914
100	7.827129772
101	7.814358549
102	7.802418671
103	7.790851721
104	7.780649224
105	7.770096261
106	7.759452437
107	7.749527833
108	7.739665009
109	7.731079128
110	7.721633608
111	7.713774793
112	7.706776122
113	7.699866896
114	7.69322795
115	7.686546503
116	7.678909601
117	7.673259117
118	7.667528777
119	7.661317165
120	7.654803889
121	7.649627061
122	7.64366104
123	7.637331023
124	7.63273752
125	7.626885563
126	7.622989117
127	7.618999012
128	7.61385327
129	7.610188523
130	7.606614327
131	7.603530355
132	7.599611759
133	7.595866468
134	7.591771376
135	7.588681549
136	7.58521551
137	7.582282414
138	7.578795517
139	7.575183299
140	7.571629863
141	7.569039142
142	7.566349533
143	7.563357234
144	7.561121826
145	7.557864048
146	7.554993929
147	7.55294885
148	7.550870747
149	7.548549289
150	7.546500786
151	7.544735095
152	7.542999062
153	7.540960019
154	7.538659285
155	7.536311949
156	7.534207299
157	7.532166119
158	7.530184822
159	7.527905266
160	7.525736779
161	7.523636512
162	7.521622012
163	7.519372934
164	7.517607757
165	7.515831835
166	7.513879248
167	7.511886658
168	7.510485646
169	7.509232893
170	7.508072265
171	7.506367308
172	7.504823299
173	7.503158123
174	7.501762793
175	7.50024734
176	7.498420575
177	7.496680697
178	7.495104576
179	7.494102825
180	7.493334093
181	7.491853072
182	7.491014733
183	7.489845674
184	7.488097844
185	7.486694174
186	7.485688616
187	7.484462994
188	7.48327785
189	7.482568057
190	7.48117181
191	7.47958041
192	7.47863566
193	7.477184751
194	7.476303527
195	7.475226681
196	7.474463893
197	7.473400272
198	7.472285419
199	7.471710893
200	7.470383535
201	7.469329974
202	7.468605356
203	7.467736001
204	7.467215214
205	7.466366302
206	7.465435835
207	7.464907391
208	7.464233985
209	7.463350565
210	7.461863957
211	7.461180914
212	7.460535295
213	7.459440186
214	7.458430675
215	7.457856633
216	7.456950238
217	7.456107427
218	7.45508629
219	7.454206623
220	7.45355401
221	7.452930579
222	7.451822362
223	7.451105049
224	7.450415876
225	7.449817029
226	7.449059743
227	7.448440218
228	7.447619767
229	7.44679095
230	7.446370766
231	7.445778823
232	7.445015501
233	7.444006227
234	7.443202853
235	7.442078181
236	7.441566048
237	7.44075179
238	7.440309396
239	7.439408895
240	7.438898035
241	7.438269326
242	7.437555191
243	7.436822213
244	7.436019326
245	7.435378978
246	7.434936232
247	7.434220516
248	7.433807315
249	7.433179912
250	7.432506387
251	7.431918696
252	7.431369813
253	7.430868428
254	7.430459394
255	7.42968367
256	7.429147653
257	7.428548861
258	7.42799812
259	7.427471091
260	7.426972387
261	7.426580324
262	7.426219862
263	7.42584468
264	7.425246607
265	7.424646422
266	7.424296995
267	7.423676684
268	7.423313885
269	7.422861612
270	7.422456331
271	7.421860002
272	7.421086458
273	7.420283458
274	7.41986841
275	7.419358735
276	7.41866739
277	7.418150546
278	7.417623712
279	7.417236667
280	7.416927916
281	7.416182231
282	7.415630609
283	7.415368422
284	7.41467313
285	7.414224105
286	7.413688823
287	7.413297769
288	7.412934968
289	7.412466109
290	7.412171445
291	7.41174537
292	7.411278897
293	7.410853849
294	7.410295994
295	7.409984811
296	7.409460315
297	7.409046155
298	7.408589963
299	7.408207409
300	7.40776569
301	7.407302837
302	7.406678295
303	7.406337857
304	7.406024634
305	7.405650173
306	7.405139187
307	7.404705376
308	7.404435529
309	7.404074963
310	7.403615673
311	7.403246473
312	7.402797376
313	7.402441073
314	7.40204683
315	7.401647629
316	7.401184943
317	7.400723659
318	7.400281779
319	7.399801688
320	7.399422546
321	7.399141719
322	7.398588791
323	7.397998599
324	7.397743555
325	7.397404432
326	7.396939119
327	7.396664672
328	7.396281115
329	7.395829393
330	7.395469346
331	7.395157824
332	7.39489185
333	7.394482451
334	7.394019243
335	7.393582251
336	7.393274702
337	7.39289226
338	7.392528915
339	7.392311428
340	7.391993158
341	7.391605937
342	7.391375605
343	7.390943137
344	7.390522928
345	7.390207137
346	7.389795729
347	7.389518986
348	7.389156199
349	7.38871967
350	7.388471585
351	7.388142865
352	7.387757959
353	7.387514237
354	7.387147434
355	7.386787842
356	7.386540486
357	7.386227943
358	7.385797937
359	7.385523493
360	7.385114871
361	7.384718684
362	7.384295385
363	7.384117783
364	7.383808335
365	7.383418523
366	7.383134048
367	7.382779051
368	7.382463712
369	7.382099929
370	7.381788256
371	7.381422142
372	7.381178878
373	7.380859459
374	7.380556698
375	7.38019821
376	7.379885827
377	7.379459226
378	7.379093802
379	7.378818763
380	7.378473624
381	7.378158134
382	7.377773115
383	7.377348675
384	7.377102935
385	7.376710266
386	7.376269306
387	7.37594688
388	7.375633751
389	7.375311459
390	7.375019108
391	7.374615041
392	7.374258508
393	7.373938875
394	7.37348144
395	7.37317501
396	7.372814308
397	7.372534435
398	7.372222202
399	7.371980604
400	7.371634209
401	7.3713407
402	7.37101461
403	7.370696528
404	7.370383434
405	7.37006917
406	7.369826982
407	7.369449918
408	7.36918821
409	7.36891018
410	7.368570856
411	7.3683034
412	7.367997605
413	7.367758978
414	7.367418782
415	7.367152826
416	7.366839812
417	7.366637993
418	7.366319589
419	7.366162507
420	7.365819395
421	7.365519086
422	7.365246594
423	7.365003502
424	7.364679966
425	7.364412729
426	7.364058741
427	7.363836604
428	7.363587535
429	7.36330913
430	7.362867221
431	7.362504012
432	7.362304224
433	7.361979475
434	7.361642449
435	7.361320228
436	7.361050439
437	7.360887785
438	7.360612903
439	7.360291268
440	7.35996511
441	7.359569296
442	7.359221283
443	7.358973662
444	7.358834041
445	7.358617286
446	7.358282217
447	7.358006286
448	7.3577049
449	7.35732342
450	7.357059705
451	7.356737215
452	7.356449397
453	7.356207123
454	7.355929994
455	7.355638474
456	7.355321034
457	7.355046728
458	7.354867061
459	7.354689426
460	7.354368861
461	7.354084775
462	7.353828088
463	7.353606515
464	7.353309565
465	7.353157882
466	7.352791733
467	7.352512878
468	7.35223466
469	7.352050537
470	7.35173182
471	7.351321418
472	7.351034297
473	7.350833804
474	7.350432621
475	7.350132096
476	7.349825477
477	7.34963798
478	7.34936624
479	7.349154483
480	7.348785763
481	7.348455255
482	7.348173734
483	7.347861615
484	7.347673738
485	7.347346811
486	7.347143285
487	7.346887102
488	7.346615097
489	7.346334131
490	7.346015009
491	7.345679389
492	7.345472596
493	7.345212471
494	7.344933159
495	7.344642441
496	7.344428552
497	7.344174232
498	7.343941851
499	7.343618309
500	7.343321788
501	7.343027172
502	7.342887217
503	7.342621182
504	7.342365624
505	7.342082906
506	7.341828186
507	7.341629885
508	7.341404199
509	7.341120676
510	7.340821162
511	7.340598302
512	7.340334454
513	7.340111814
514	7.339816583
515	7.33948588
516	7.339313865
517	7.339054718
518	7.338711269
519	7.338452076
520	7.338184353
521	7.337958319
522	7.3376844
523	7.337449052
524	7.337253398
525	7.337055386
526	7.33691006
527	7.336647315
528	7.336450606
529	7.3362052
530	7.335899345
531	7.33571709
532	7.335454537
533	7.335133973
534	7.334848703
535	7.334545621
536	7.33436045
537	7.334210013
538	7.333987218
539	7.333742196
540	7.333536661
541	7.333260404
542	7.332997031
543	7.332688339
544	7.332383173
545	7.332120551
546	7.331857356
547	7.331613374
548	7.33142651
549	7.331248303
550	7.330973077
551	7.33077218
552	7.33058556
553	7.330361167
554	7.330126939
555	7.329956856
556	7.329741325
557	7.32953824
558	7.329336082
559	7.329127926
560	7.328835957
561	7.328554961
562	7.328278998
563	7.328086285
564	7.327951909
565	7.327692276
566	7.327495999
567	7.327363846
568	7.327090873
569	7.326862513
570	7.326627821
571	7.326474011
572	7.3263266
573	7.326004156
574	7.325712032
575	7.325483344
576	7.325274727
577	7.325015231
578	7.324742253
579	7.324567256
580	7.32440263
581	7.324144271
582	7.323918996
583	7.323662274
584	7.323462441
585	7.323201442
586	7.323005982
587	7.322712121
588	7.322484599
589	7.322266257
590	7.322007891
591	7.321736404
592	7.321531869
593	7.321321588
594	7.321054673
595	7.320829695
596	7.320637719
597	7.320378836
598	7.320191843
599	7.319930502
600	7.319735289
601	7.319517967
602	7.319291554
603	7.319062824
604	7.318837759
605	7.31863896
606	7.318494711
607	7.318262677
608	7.318108668
609	7.317893678
610	7.317704633
611	7.317526149
612	7.317237063
613	7.31698263
614	7.316845338
615	7.316592143
616	7.31643019
617	7.316201023
618	7.315981384
619	7.315842123
620	7.315676092
621	7.315484066
622	7.315186805
623	7.314991581
624	7.314757445
625	7.314545869
626	7.314352057
627	7.314131226
628	7.313962788
629	7.313842756
630	7.313673012
631	7.313467582
632	7.313215925
633	7.313049162
634	7.312756836
635	7.312596112
636	7.312414706
637	7.312223724
638	7.311969195
639	7.311712262
640	7.311484457
641	7.311296698
642	7.311167569
643	7.311000513
644	7.310821439
645	7.310576209
646	7.310372192
647	7.310204635
648	7.309999398
649	7.309767771
650	7.30959314
651	7.309401965
652	7.30921493
653	7.308980455
654	7.30883424
655	7.308574634
656	7.308351235
657	7.308130173
658	7.307976906
659	7.307719747
660	7.307535153
661	7.307388633
662	7.30727583
663	7.307053562
664	7.306881041
665	7.306612418
666	7.30643002
667	7.306198528
668	7.305954089
669	7.305718063
670	7.30554758
671	7.305394087
